month,sofa,bed,dining,desk,cabinet,mattress
2021-01,9956.3,6694.0,3728.7,3238.8,5422.5,4533.0
2021-02,10033.1,6882.4,3793.5,3096.8,5724.7,4167.1
2021-03,10185.3,6302.1,3448.5,3275.3,5573.8,4544.5
2021-04,9902.5,6047.2,3499.6,3016.7,5358.5,4076.8
2021-05,8399.1,5628.5,3182.5,2786.8,5297.9,3550.0
2021-06,7536.6,5172.6,3122.3,2607.0,4023.9,3371.0
2021-07,7416.5,4471.8,2580.3,2201.9,4094.8,3053.7
2021-08,6984.1,4390.5,2550.6,2096.7,3619.8,2867.3
2021-09,6955.4,4417.4,2626.9,2182.9,3969.4,3076.6
2021-10,8026.2,4871.3,2772.9,2428.5,4676.5,3342.1
2021-11,8731.3,5975.3,3437.4,2836.5,5085.5,3855.2
2021-12,9766.7,6817.6,3779.9,3229.0,5427.3,4399.8
2022-01,10861.1,6961.8,4083.3,3483.9,5952.2,4919.0
2022-02,10258.1,7491.2,3930.5,3678.8,6496.6,4532.9
2022-03,10169.1,7176.5,4227.2,3506.0,6034.6,5081.6
2022-04,10030.4,6467.3,3542.2,3485.9,5887.7,4048.9
2022-05,8936.6,6106.5,3479.3,2960.8,5305.6,3956.2
2022-06,8456.4,5723.5,3308.7,2977.3,4622.8,3647.6
2022-07,7374.2,4928.2,2671.9,2523.6,4720.0,3297.1
2022-08,7008.2,5085.3,2634.3,2309.5,4324.9,3081.6
2022-09,8220.1,4474.2,2823.6,2394.6,4050.5,3271.5
2022-10,8521.6,5711.4,3046.2,2825.9,4915.5,3576.4
2022-11,9758.0,6273.5,3294.0,3111.6,5373.3,4025.8
2022-12,10259.4,6898.9,3929.6,3612.5,6378.2,4759.4
2023-01,11495.7,7562.7,4045.9,3868.1,6448.5,5036.1
2023-02,12181.3,7151.2,4435.3,3908.7,6838.5,4975.3
2023-03,11368.7,7560.3,4113.0,3724.0,6884.7,5202.5
2023-04,11356.7,7256.5,4250.1,3401.7,6552.6,4766.4
2023-05,9905.6,6867.4,3510.5,3228.1,5467.1,4404.4
2023-06,8988.8,5684.9,3200.3,3048.0,5075.5,3913.7
2023-07,8128.0,5139.6,3060.3,2723.4,4619.5,3375.7
2023-08,8678.1,5044.9,2729.2,2490.5,4447.3,3307.0
2023-09,8436.6,5570.8,3021.4,2759.0,5106.1,3635.4
2023-10,8947.5,6021.3,3481.7,3081.2,5362.4,3997.5
2023-11,10914.8,6574.1,3496.1,3312.6,5665.4,4404.6
2023-12,11230.3,7652.1,4198.9,3862.5,6908.6,4942.7
2024-01,12852.8,8119.6,4539.5,4156.3,7802.2,5575.9
2024-02,12116.2,8658.7,4771.6,4083.6,7721.5,5335.8
2024-03,12226.1,7950.7,4312.9,4265.2,6838.0,5478.7
2024-04,12211.4,7569.5,4026.7,4036.4,6697.1,4984.5
2024-05,11309.4,6839.7,3929.0,3736.3,6503.5,4511.3
2024-06,9906.0,5854.7,3482.9,3344.3,5385.2,4250.4
2024-07,8963.1,5754.8,3177.2,2776.6,5160.8,3845.3
2024-08,8626.0,5568.1,3088.0,2743.7,5067.5,3722.7
2024-09,8578.2,5751.3,3089.6,3039.6,4940.8,3957.2
2024-10,9796.0,6297.0,3541.2,3364.1,5661.2,4159.6
2024-11,11192.5,6774.4,4007.4,3805.1,5581.8,4821.6
2024-12,13272.7,7879.0,4291.2,4807.6,6866.7,5171.3
2025-01,13929.8,8522.9,5115.5,4599.7,7645.8,5717.6
2025-02,13167.0,8616.8,4993.8,4849.0,7563.2,5782.9
2025-03,14087.0,8677.2,4575.8,4729.3,8322.7,5723.2
2025-04,12842.4,8318.1,4618.8,4385.9,6906.4,5469.0
2025-05,11500.3,7972.6,3914.5,3826.6,6519.9,4677.9
2025-06,10841.0,6678.6,3756.5,3576.4,5970.9,4687.4
