month,custom_share,ready_share
2021-01,35.2,64.8
2021-02,35.35,64.65
2021-03,37.57,62.43
2021-04,37.6,62.4
2021-05,37.78,62.22
2021-06,38.11,61.89
2021-07,37.91,62.09
2021-08,37.53,62.47
2021-09,38.63,61.37
2021-10,38.35,61.65
2021-11,39.99,60.01
2021-12,39.41,60.59
2022-01,39.19,60.81
2022-02,39.91,60.09
2022-03,40.82,59.18
2022-04,40.36,59.64
2022-05,40.47,59.53
2022-06,41.65,58.35
2022-07,41.97,58.03
2022-08,41.69,58.31
2022-09,42.04,57.96
2022-10,42.92,57.08
2022-11,41.9,58.1
2022-12,42.25,57.75
2023-01,43.12,56.88
2023-02,43.85,56.15
2023-03,44.59,55.41
2023-04,45.84,54.16
2023-05,45.67,54.33
2023-06,45.17,54.83
2023-07,45.61,54.39
2023-08,45.14,54.86
2023-09,46.25,53.75
2023-10,46.35,53.65
2023-11,47.16,52.84
2023-12,46.56,53.44
2024-01,47.96,52.04
2024-02,49.09,50.91
2024-03,48.1,51.9
2024-04,48.83,51.17
2024-05,49.38,50.62
2024-06,48.83,51.17
2024-07,49.65,50.35
2024-08,49.8,50.2
2024-09,50.19,49.81
2024-10,49.82,50.18
2024-11,50.77,49.23
2024-12,51.47,48.53
2025-01,52.56,47.44
2025-02,52.48,47.52
2025-03,53.76,46.24
2025-04,51.74,48.26
2025-05,53.38,46.62
2025-06,53.15,46.85
