month,new_house_delivery,furniture_sales
2021-01,187.1,33573.3
2021-02,186.0,33697.6
2021-03,193.6,33329.5
2021-04,159.5,31901.3
2021-05,178.7,28844.8
2021-06,189.7,25833.4
2021-07,202.7,23819.0
2021-08,184.7,22509.0
2021-09,168.9,23228.6
2021-10,196.2,26117.5
2021-11,179.8,29921.2
2021-12,170.9,33420.3
2022-01,174.5,36261.3
2022-02,177.1,36388.1
2022-03,171.5,36195.0
2022-04,154.4,33462.4
2022-05,188.8,30745.0
2022-06,194.7,28736.3
2022-07,189.7,25515.0
2022-08,171.1,24443.8
2022-09,181.5,25234.5
2022-10,182.5,28597.0
2022-11,186.9,31836.2
2022-12,184.8,35838.0
2023-01,167.2,38457.0
2023-02,173.6,39490.3
2023-03,176.3,38853.2
2023-04,186.7,37584.0
2023-05,180.1,33383.1
2023-06,182.7,29911.2
2023-07,176.9,27046.5
2023-08,192.1,26697.0
2023-09,181.5,28529.3
2023-10,166.9,30891.6
2023-11,188.5,34367.6
2023-12,178.3,38795.1
2024-01,164.0,43046.3
2024-02,161.6,42687.4
2024-03,168.3,41071.6
2024-04,170.0,39525.6
2024-05,168.4,36829.2
2024-06,171.1,32223.5
2024-07,186.8,29677.8
2024-08,181.5,28816.0
2024-09,172.4,29356.7
2024-10,179.0,32819.1
2024-11,157.0,36182.8
2024-12,168.7,42288.5
2025-01,179.7,45531.3
2025-02,158.0,44972.7
2025-03,150.9,46115.2
2025-04,152.8,42540.6
2025-05,149.6,38411.8
2025-06,153.9,35510.8
