month,house_type,furniture,size,popularity,is_hot
2021-01,小户型,沙发,双人位 1.6-1.8m,83,0
2021-01,小户型,沙发床,多功能折叠 1.5m,88,1
2021-01,小户型,餐桌,伸缩款 0.9-1.4m,88,1
2021-01,小户型,床,1.5m 矮床带储物,73,0
2021-01,小户型,衣柜,入墙式定制 2.0m,71,0
2021-01,小户型,书桌,折叠壁挂 0.8m,66,0
2021-01,中户型,沙发,三人位+贵妃 2.8m,78,0
2021-01,中户型,沙发床,抽拉式 1.8m,65,0
2021-01,中户型,餐桌,四人位 1.4m,74,0
2021-01,中户型,床,1.8m 实木床,81,0
2021-01,中户型,衣柜,平开门定制 2.4m,75,0
2021-01,中户型,书桌,1.2m 带书架,68,0
2021-01,大户型,沙发,L型组合 3.5m+,71,0
2021-01,大户型,沙发床,极少选购,22,0
2021-01,大户型,餐桌,六人位 1.8m+,68,0
2021-01,大户型,床,2.0m 真皮大床,74,0
2021-01,大户型,衣柜,步入式衣帽间,63,0
2021-01,大户型,书桌,1.6m 整木大桌,61,0
2021-02,小户型,沙发,双人位 1.6-1.8m,85,0
2021-02,小户型,沙发床,多功能折叠 1.5m,89,1
2021-02,小户型,餐桌,伸缩款 0.9-1.4m,88,1
2021-02,小户型,床,1.5m 矮床带储物,76,0
2021-02,小户型,衣柜,入墙式定制 2.0m,69,0
2021-02,小户型,书桌,折叠壁挂 0.8m,66,0
2021-02,中户型,沙发,三人位+贵妃 2.8m,77,0
2021-02,中户型,沙发床,抽拉式 1.8m,65,0
2021-02,中户型,餐桌,四人位 1.4m,74,0
2021-02,中户型,床,1.8m 实木床,81,0
2021-02,中户型,衣柜,平开门定制 2.4m,76,0
2021-02,中户型,书桌,1.2m 带书架,72,0
2021-02,大户型,沙发,L型组合 3.5m+,73,0
2021-02,大户型,沙发床,极少选购,22,0
2021-02,大户型,餐桌,六人位 1.8m+,68,0
2021-02,大户型,床,2.0m 真皮大床,74,0
2021-02,大户型,衣柜,步入式衣帽间,65,0
2021-02,大户型,书桌,1.6m 整木大桌,61,0
2021-03,小户型,沙发,双人位 1.6-1.8m,83,0
2021-03,小户型,沙发床,多功能折叠 1.5m,91,1
2021-03,小户型,餐桌,伸缩款 0.9-1.4m,86,1
2021-03,小户型,床,1.5m 矮床带储物,75,0
2021-03,小户型,衣柜,入墙式定制 2.0m,70,0
2021-03,小户型,书桌,折叠壁挂 0.8m,65,0
2021-03,中户型,沙发,三人位+贵妃 2.8m,76,0
2021-03,中户型,沙发床,抽拉式 1.8m,64,0
2021-03,中户型,餐桌,四人位 1.4m,75,0
2021-03,中户型,床,1.8m 实木床,80,0
2021-03,中户型,衣柜,平开门定制 2.4m,74,0
2021-03,中户型,书桌,1.2m 带书架,69,0
2021-03,大户型,沙发,L型组合 3.5m+,73,0
2021-03,大户型,沙发床,极少选购,22,0
2021-03,大户型,餐桌,六人位 1.8m+,68,0
2021-03,大户型,床,2.0m 真皮大床,74,0
2021-03,大户型,衣柜,步入式衣帽间,64,0
2021-03,大户型,书桌,1.6m 整木大桌,60,0
2021-04,小户型,沙发,双人位 1.6-1.8m,84,0
2021-04,小户型,沙发床,多功能折叠 1.5m,88,1
2021-04,小户型,餐桌,伸缩款 0.9-1.4m,88,1
2021-04,小户型,床,1.5m 矮床带储物,75,0
2021-04,小户型,衣柜,入墙式定制 2.0m,70,0
2021-04,小户型,书桌,折叠壁挂 0.8m,65,0
2021-04,中户型,沙发,三人位+贵妃 2.8m,78,0
2021-04,中户型,沙发床,抽拉式 1.8m,64,0
2021-04,中户型,餐桌,四人位 1.4m,73,0
2021-04,中户型,床,1.8m 实木床,80,0
2021-04,中户型,衣柜,平开门定制 2.4m,74,0
2021-04,中户型,书桌,1.2m 带书架,70,0
2021-04,大户型,沙发,L型组合 3.5m+,71,0
2021-04,大户型,沙发床,极少选购,21,0
2021-04,大户型,餐桌,六人位 1.8m+,68,0
2021-04,大户型,床,2.0m 真皮大床,74,0
2021-04,大户型,衣柜,步入式衣帽间,64,0
2021-04,大户型,书桌,1.6m 整木大桌,61,0
2021-05,小户型,沙发,双人位 1.6-1.8m,83,0
2021-05,小户型,沙发床,多功能折叠 1.5m,86,1
2021-05,小户型,餐桌,伸缩款 0.9-1.4m,86,1
2021-05,小户型,床,1.5m 矮床带储物,75,0
2021-05,小户型,衣柜,入墙式定制 2.0m,68,0
2021-05,小户型,书桌,折叠壁挂 0.8m,64,0
2021-05,中户型,沙发,三人位+贵妃 2.8m,78,0
2021-05,中户型,沙发床,抽拉式 1.8m,63,0
2021-05,中户型,餐桌,四人位 1.4m,74,0
2021-05,中户型,床,1.8m 实木床,80,0
2021-05,中户型,衣柜,平开门定制 2.4m,75,0
2021-05,中户型,书桌,1.2m 带书架,69,0
2021-05,大户型,沙发,L型组合 3.5m+,72,0
2021-05,大户型,沙发床,极少选购,20,0
2021-05,大户型,餐桌,六人位 1.8m+,68,0
2021-05,大户型,床,2.0m 真皮大床,75,0
2021-05,大户型,衣柜,步入式衣帽间,63,0
2021-05,大户型,书桌,1.6m 整木大桌,60,0
2021-06,小户型,沙发,双人位 1.6-1.8m,83,0
2021-06,小户型,沙发床,多功能折叠 1.5m,86,1
2021-06,小户型,餐桌,伸缩款 0.9-1.4m,83,1
2021-06,小户型,床,1.5m 矮床带储物,74,0
2021-06,小户型,衣柜,入墙式定制 2.0m,68,0
2021-06,小户型,书桌,折叠壁挂 0.8m,64,0
2021-06,中户型,沙发,三人位+贵妃 2.8m,77,0
2021-06,中户型,沙发床,抽拉式 1.8m,63,0
2021-06,中户型,餐桌,四人位 1.4m,73,0
2021-06,中户型,床,1.8m 实木床,78,0
2021-06,中户型,衣柜,平开门定制 2.4m,74,0
2021-06,中户型,书桌,1.2m 带书架,68,0
2021-06,大户型,沙发,L型组合 3.5m+,72,0
2021-06,大户型,沙发床,极少选购,20,0
2021-06,大户型,餐桌,六人位 1.8m+,66,0
2021-06,大户型,床,2.0m 真皮大床,74,0
2021-06,大户型,衣柜,步入式衣帽间,62,0
2021-06,大户型,书桌,1.6m 整木大桌,61,0
2021-07,小户型,沙发,双人位 1.6-1.8m,82,0
2021-07,小户型,沙发床,多功能折叠 1.5m,87,1
2021-07,小户型,餐桌,伸缩款 0.9-1.4m,84,1
2021-07,小户型,床,1.5m 矮床带储物,72,0
2021-07,小户型,衣柜,入墙式定制 2.0m,68,0
2021-07,小户型,书桌,折叠壁挂 0.8m,64,0
2021-07,中户型,沙发,三人位+贵妃 2.8m,77,0
2021-07,中户型,沙发床,抽拉式 1.8m,61,0
2021-07,中户型,餐桌,四人位 1.4m,71,0
2021-07,中户型,床,1.8m 实木床,77,0
2021-07,中户型,衣柜,平开门定制 2.4m,74,0
2021-07,中户型,书桌,1.2m 带书架,69,0
2021-07,大户型,沙发,L型组合 3.5m+,70,0
2021-07,大户型,沙发床,极少选购,19,0
2021-07,大户型,餐桌,六人位 1.8m+,67,0
2021-07,大户型,床,2.0m 真皮大床,74,0
2021-07,大户型,衣柜,步入式衣帽间,62,0
2021-07,大户型,书桌,1.6m 整木大桌,60,0
2021-08,小户型,沙发,双人位 1.6-1.8m,82,0
2021-08,小户型,沙发床,多功能折叠 1.5m,86,1
2021-08,小户型,餐桌,伸缩款 0.9-1.4m,84,1
2021-08,小户型,床,1.5m 矮床带储物,73,0
2021-08,小户型,衣柜,入墙式定制 2.0m,65,0
2021-08,小户型,书桌,折叠壁挂 0.8m,64,0
2021-08,中户型,沙发,三人位+贵妃 2.8m,76,0
2021-08,中户型,沙发床,抽拉式 1.8m,61,0
2021-08,中户型,餐桌,四人位 1.4m,73,0
2021-08,中户型,床,1.8m 实木床,80,0
2021-08,中户型,衣柜,平开门定制 2.4m,73,0
2021-08,中户型,书桌,1.2m 带书架,68,0
2021-08,大户型,沙发,L型组合 3.5m+,72,0
2021-08,大户型,沙发床,极少选购,20,0
2021-08,大户型,餐桌,六人位 1.8m+,68,0
2021-08,大户型,床,2.0m 真皮大床,73,0
2021-08,大户型,衣柜,步入式衣帽间,63,0
2021-08,大户型,书桌,1.6m 整木大桌,58,0
2021-09,小户型,沙发,双人位 1.6-1.8m,81,0
2021-09,小户型,沙发床,多功能折叠 1.5m,85,1
2021-09,小户型,餐桌,伸缩款 0.9-1.4m,86,1
2021-09,小户型,床,1.5m 矮床带储物,72,0
2021-09,小户型,衣柜,入墙式定制 2.0m,68,0
2021-09,小户型,书桌,折叠壁挂 0.8m,65,0
2021-09,中户型,沙发,三人位+贵妃 2.8m,77,0
2021-09,中户型,沙发床,抽拉式 1.8m,64,0
2021-09,中户型,餐桌,四人位 1.4m,72,0
2021-09,中户型,床,1.8m 实木床,79,0
2021-09,中户型,衣柜,平开门定制 2.4m,73,0
2021-09,中户型,书桌,1.2m 带书架,67,0
2021-09,大户型,沙发,L型组合 3.5m+,70,0
2021-09,大户型,沙发床,极少选购,19,0
2021-09,大户型,餐桌,六人位 1.8m+,66,0
2021-09,大户型,床,2.0m 真皮大床,72,0
2021-09,大户型,衣柜,步入式衣帽间,62,0
2021-09,大户型,书桌,1.6m 整木大桌,60,0
2021-10,小户型,沙发,双人位 1.6-1.8m,80,0
2021-10,小户型,沙发床,多功能折叠 1.5m,88,1
2021-10,小户型,餐桌,伸缩款 0.9-1.4m,85,1
2021-10,小户型,床,1.5m 矮床带储物,72,0
2021-10,小户型,衣柜,入墙式定制 2.0m,68,0
2021-10,小户型,书桌,折叠壁挂 0.8m,64,0
2021-10,中户型,沙发,三人位+贵妃 2.8m,77,0
2021-10,中户型,沙发床,抽拉式 1.8m,64,0
2021-10,中户型,餐桌,四人位 1.4m,71,0
2021-10,中户型,床,1.8m 实木床,79,0
2021-10,中户型,衣柜,平开门定制 2.4m,74,0
2021-10,中户型,书桌,1.2m 带书架,69,0
2021-10,大户型,沙发,L型组合 3.5m+,71,0
2021-10,大户型,沙发床,极少选购,19,0
2021-10,大户型,餐桌,六人位 1.8m+,67,0
2021-10,大户型,床,2.0m 真皮大床,73,0
2021-10,大户型,衣柜,步入式衣帽间,64,0
2021-10,大户型,书桌,1.6m 整木大桌,60,0
2021-11,小户型,沙发,双人位 1.6-1.8m,84,0
2021-11,小户型,沙发床,多功能折叠 1.5m,88,1
2021-11,小户型,餐桌,伸缩款 0.9-1.4m,86,1
2021-11,小户型,床,1.5m 矮床带储物,72,0
2021-11,小户型,衣柜,入墙式定制 2.0m,68,0
2021-11,小户型,书桌,折叠壁挂 0.8m,64,0
2021-11,中户型,沙发,三人位+贵妃 2.8m,78,0
2021-11,中户型,沙发床,抽拉式 1.8m,64,0
2021-11,中户型,餐桌,四人位 1.4m,72,0
2021-11,中户型,床,1.8m 实木床,81,0
2021-11,中户型,衣柜,平开门定制 2.4m,75,0
2021-11,中户型,书桌,1.2m 带书架,69,0
2021-11,大户型,沙发,L型组合 3.5m+,73,0
2021-11,大户型,沙发床,极少选购,21,0
2021-11,大户型,餐桌,六人位 1.8m+,68,0
2021-11,大户型,床,2.0m 真皮大床,73,0
2021-11,大户型,衣柜,步入式衣帽间,62,0
2021-11,大户型,书桌,1.6m 整木大桌,60,0
2021-12,小户型,沙发,双人位 1.6-1.8m,83,0
2021-12,小户型,沙发床,多功能折叠 1.5m,89,1
2021-12,小户型,餐桌,伸缩款 0.9-1.4m,88,1
2021-12,小户型,床,1.5m 矮床带储物,74,0
2021-12,小户型,衣柜,入墙式定制 2.0m,70,0
2021-12,小户型,书桌,折叠壁挂 0.8m,66,0
2021-12,中户型,沙发,三人位+贵妃 2.8m,79,0
2021-12,中户型,沙发床,抽拉式 1.8m,65,0
2021-12,中户型,餐桌,四人位 1.4m,73,0
2021-12,中户型,床,1.8m 实木床,82,0
2021-12,中户型,衣柜,平开门定制 2.4m,76,0
2021-12,中户型,书桌,1.2m 带书架,70,0
2021-12,大户型,沙发,L型组合 3.5m+,73,0
2021-12,大户型,沙发床,极少选购,21,0
2021-12,大户型,餐桌,六人位 1.8m+,69,0
2021-12,大户型,床,2.0m 真皮大床,75,0
2021-12,大户型,衣柜,步入式衣帽间,64,0
2021-12,大户型,书桌,1.6m 整木大桌,62,0
2022-01,小户型,沙发,双人位 1.6-1.8m,82,0
2022-01,小户型,沙发床,多功能折叠 1.5m,91,1
2022-01,小户型,餐桌,伸缩款 0.9-1.4m,89,1
2022-01,小户型,床,1.5m 矮床带储物,75,0
2022-01,小户型,衣柜,入墙式定制 2.0m,71,0
2022-01,小户型,书桌,折叠壁挂 0.8m,65,0
2022-01,中户型,沙发,三人位+贵妃 2.8m,78,0
2022-01,中户型,沙发床,抽拉式 1.8m,65,0
2022-01,中户型,餐桌,四人位 1.4m,75,0
2022-01,中户型,床,1.8m 实木床,80,0
2022-01,中户型,衣柜,平开门定制 2.4m,77,0
2022-01,中户型,书桌,1.2m 带书架,69,0
2022-01,大户型,沙发,L型组合 3.5m+,74,0
2022-01,大户型,沙发床,极少选购,22,0
2022-01,大户型,餐桌,六人位 1.8m+,69,0
2022-01,大户型,床,2.0m 真皮大床,77,0
2022-01,大户型,衣柜,步入式衣帽间,64,0
2022-01,大户型,书桌,1.6m 整木大桌,63,0
2022-02,小户型,沙发,双人位 1.6-1.8m,85,0
2022-02,小户型,沙发床,多功能折叠 1.5m,91,1
2022-02,小户型,餐桌,伸缩款 0.9-1.4m,90,1
2022-02,小户型,床,1.5m 矮床带储物,75,0
2022-02,小户型,衣柜,入墙式定制 2.0m,71,0
2022-02,小户型,书桌,折叠壁挂 0.8m,67,0
2022-02,中户型,沙发,三人位+贵妃 2.8m,79,0
2022-02,中户型,沙发床,抽拉式 1.8m,66,0
2022-02,中户型,餐桌,四人位 1.4m,76,0
2022-02,中户型,床,1.8m 实木床,80,0
2022-02,中户型,衣柜,平开门定制 2.4m,78,0
2022-02,中户型,书桌,1.2m 带书架,69,0
2022-02,大户型,沙发,L型组合 3.5m+,74,0
2022-02,大户型,沙发床,极少选购,23,0
2022-02,大户型,餐桌,六人位 1.8m+,68,0
2022-02,大户型,床,2.0m 真皮大床,75,0
2022-02,大户型,衣柜,步入式衣帽间,65,0
2022-02,大户型,书桌,1.6m 整木大桌,62,0
2022-03,小户型,沙发,双人位 1.6-1.8m,83,0
2022-03,小户型,沙发床,多功能折叠 1.5m,92,1
2022-03,小户型,餐桌,伸缩款 0.9-1.4m,90,1
2022-03,小户型,床,1.5m 矮床带储物,76,0
2022-03,小户型,衣柜,入墙式定制 2.0m,70,0
2022-03,小户型,书桌,折叠壁挂 0.8m,67,0
2022-03,中户型,沙发,三人位+贵妃 2.8m,78,0
2022-03,中户型,沙发床,抽拉式 1.8m,64,0
2022-03,中户型,餐桌,四人位 1.4m,76,0
2022-03,中户型,床,1.8m 实木床,83,0
2022-03,中户型,衣柜,平开门定制 2.4m,75,0
2022-03,中户型,书桌,1.2m 带书架,70,0
2022-03,大户型,沙发,L型组合 3.5m+,73,0
2022-03,大户型,沙发床,极少选购,22,0
2022-03,大户型,餐桌,六人位 1.8m+,69,0
2022-03,大户型,床,2.0m 真皮大床,76,0
2022-03,大户型,衣柜,步入式衣帽间,65,0
2022-03,大户型,书桌,1.6m 整木大桌,63,0
2022-04,小户型,沙发,双人位 1.6-1.8m,84,0
2022-04,小户型,沙发床,多功能折叠 1.5m,90,1
2022-04,小户型,餐桌,伸缩款 0.9-1.4m,88,1
2022-04,小户型,床,1.5m 矮床带储物,75,0
2022-04,小户型,衣柜,入墙式定制 2.0m,71,0
2022-04,小户型,书桌,折叠壁挂 0.8m,67,0
2022-04,中户型,沙发,三人位+贵妃 2.8m,78,0
2022-04,中户型,沙发床,抽拉式 1.8m,66,0
2022-04,中户型,餐桌,四人位 1.4m,75,0
2022-04,中户型,床,1.8m 实木床,80,0
2022-04,中户型,衣柜,平开门定制 2.4m,77,0
2022-04,中户型,书桌,1.2m 带书架,70,0
2022-04,大户型,沙发,L型组合 3.5m+,74,0
2022-04,大户型,沙发床,极少选购,22,0
2022-04,大户型,餐桌,六人位 1.8m+,69,0
2022-04,大户型,床,2.0m 真皮大床,75,0
2022-04,大户型,衣柜,步入式衣帽间,64,0
2022-04,大户型,书桌,1.6m 整木大桌,61,0
2022-05,小户型,沙发,双人位 1.6-1.8m,82,0
2022-05,小户型,沙发床,多功能折叠 1.5m,89,1
2022-05,小户型,餐桌,伸缩款 0.9-1.4m,89,1
2022-05,小户型,床,1.5m 矮床带储物,76,0
2022-05,小户型,衣柜,入墙式定制 2.0m,71,0
2022-05,小户型,书桌,折叠壁挂 0.8m,67,0
2022-05,中户型,沙发,三人位+贵妃 2.8m,77,0
2022-05,中户型,沙发床,抽拉式 1.8m,63,0
2022-05,中户型,餐桌,四人位 1.4m,73,0
2022-05,中户型,床,1.8m 实木床,80,0
2022-05,中户型,衣柜,平开门定制 2.4m,75,0
2022-05,中户型,书桌,1.2m 带书架,69,0
2022-05,大户型,沙发,L型组合 3.5m+,71,0
2022-05,大户型,沙发床,极少选购,22,0
2022-05,大户型,餐桌,六人位 1.8m+,68,0
2022-05,大户型,床,2.0m 真皮大床,75,0
2022-05,大户型,衣柜,步入式衣帽间,67,0
2022-05,大户型,书桌,1.6m 整木大桌,61,0
2022-06,小户型,沙发,双人位 1.6-1.8m,80,0
2022-06,小户型,沙发床,多功能折叠 1.5m,88,1
2022-06,小户型,餐桌,伸缩款 0.9-1.4m,87,1
2022-06,小户型,床,1.5m 矮床带储物,75,0
2022-06,小户型,衣柜,入墙式定制 2.0m,69,0
2022-06,小户型,书桌,折叠壁挂 0.8m,66,0
2022-06,中户型,沙发,三人位+贵妃 2.8m,77,0
2022-06,中户型,沙发床,抽拉式 1.8m,63,0
2022-06,中户型,餐桌,四人位 1.4m,76,0
2022-06,中户型,床,1.8m 实木床,78,0
2022-06,中户型,衣柜,平开门定制 2.4m,75,0
2022-06,中户型,书桌,1.2m 带书架,69,0
2022-06,大户型,沙发,L型组合 3.5m+,73,0
2022-06,大户型,沙发床,极少选购,20,0
2022-06,大户型,餐桌,六人位 1.8m+,68,0
2022-06,大户型,床,2.0m 真皮大床,74,0
2022-06,大户型,衣柜,步入式衣帽间,65,0
2022-06,大户型,书桌,1.6m 整木大桌,61,0
2022-07,小户型,沙发,双人位 1.6-1.8m,82,0
2022-07,小户型,沙发床,多功能折叠 1.5m,87,1
2022-07,小户型,餐桌,伸缩款 0.9-1.4m,86,1
2022-07,小户型,床,1.5m 矮床带储物,73,0
2022-07,小户型,衣柜,入墙式定制 2.0m,70,0
2022-07,小户型,书桌,折叠壁挂 0.8m,66,0
2022-07,中户型,沙发,三人位+贵妃 2.8m,76,0
2022-07,中户型,沙发床,抽拉式 1.8m,64,0
2022-07,中户型,餐桌,四人位 1.4m,72,0
2022-07,中户型,床,1.8m 实木床,79,0
2022-07,中户型,衣柜,平开门定制 2.4m,74,0
2022-07,中户型,书桌,1.2m 带书架,70,0
2022-07,大户型,沙发,L型组合 3.5m+,70,0
2022-07,大户型,沙发床,极少选购,23,0
2022-07,大户型,餐桌,六人位 1.8m+,69,0
2022-07,大户型,床,2.0m 真皮大床,74,0
2022-07,大户型,衣柜,步入式衣帽间,64,0
2022-07,大户型,书桌,1.6m 整木大桌,61,0
2022-08,小户型,沙发,双人位 1.6-1.8m,82,0
2022-08,小户型,沙发床,多功能折叠 1.5m,88,1
2022-08,小户型,餐桌,伸缩款 0.9-1.4m,86,1
