month,modern,neo_chinese,luxury,nordic,japanese,american,industrial
2021-01,98.85,38.75,53.26,63.73,49.99,45.83,31.54
2021-02,81.9,47.78,51.87,56.48,42.95,49.8,28.31
2021-03,83.11,55.38,66.74,63.97,45.03,54.87,27.99
2021-04,85.95,45.29,63.74,68.47,42.37,52.42,39.23
2021-05,77.85,58.91,60.09,53.41,45.75,47.09,30.07
2021-06,87.87,35.72,67.92,60.28,50.24,43.65,45.27
2021-07,86.2,33.65,60.82,65.45,52.14,57.91,25.83
2021-08,90.76,47.01,55.64,61.58,43.42,47.08,44.22
2021-09,90.65,50.51,66.82,62.88,51.86,45.94,36.15
2021-10,98.61,47.13,61.16,57.99,53.76,44.84,33.97
2021-11,92.15,30.99,52.78,60.0,48.71,44.97,31.24
2021-12,82.7,47.27,56.92,58.71,56.02,43.16,35.71
2022-01,81.21,38.41,53.88,64.18,43.14,41.37,33.55
2022-02,90.6,55.43,52.15,61.12,41.5,41.71,39.53
2022-03,81.14,54.44,64.74,62.29,39.75,44.17,34.99
2022-04,100.0,45.45,70.72,60.13,57.04,42.52,35.57
2022-05,98.6,50.13,54.99,60.42,53.56,42.06,33.26
2022-06,89.15,46.68,65.2,60.81,50.41,45.24,34.81
2022-07,81.4,55.13,59.04,63.79,52.08,43.35,36.38
2022-08,98.9,63.37,59.35,59.79,44.7,49.64,25.81
2022-09,88.82,47.7,58.06,61.65,62.0,32.11,26.99
2022-10,95.67,59.45,55.93,67.81,49.86,46.18,36.83
2022-11,77.76,51.22,59.97,62.26,49.39,46.08,33.49
2022-12,83.45,49.55,55.47,57.15,52.46,32.37,31.47
2023-01,87.51,55.93,61.37,63.43,51.62,39.21,32.51
2023-02,88.82,49.81,60.6,57.58,51.08,39.29,34.41
2023-03,87.26,55.23,60.73,51.89,46.95,35.5,30.36
2023-04,95.13,51.66,58.47,56.83,54.22,38.37,29.55
2023-05,86.05,78.32,60.96,53.96,62.03,37.22,34.66
2023-06,92.04,63.83,68.03,60.2,59.74,48.56,28.81
2023-07,93.33,58.4,66.66,61.36,60.97,44.86,35.49
2023-08,94.78,65.71,58.73,67.26,50.07,45.49,24.47
2023-09,94.68,62.84,63.33,60.89,47.09,42.43,37.52
2023-10,82.39,61.68,65.79,57.74,50.81,34.18,34.14
2023-11,79.01,68.32,53.14,61.21,51.33,35.91,32.6
2023-12,95.59,69.86,64.1,48.73,56.5,39.55,35.99
2024-01,90.35,60.48,58.47,58.69,42.96,32.6,39.42
2024-02,84.94,61.52,65.48,61.4,59.83,40.51,36.41
2024-03,100.0,65.61,59.92,53.22,52.38,37.0,22.49
2024-04,93.0,51.1,55.82,64.52,52.02,36.76,25.66
2024-05,100.0,58.85,57.56,61.87,49.88,41.25,29.17
2024-06,94.23,82.88,66.35,59.01,47.07,40.06,32.43
2024-07,100.0,85.52,67.31,62.89,59.44,36.42,34.65
2024-08,100.0,70.28,60.94,68.72,55.29,41.83,27.97
2024-09,89.83,76.5,67.83,59.41,47.85,32.05,31.95
2024-10,95.85,73.97,55.51,58.72,47.2,38.04,26.67
2024-11,92.97,95.97,62.93,55.17,51.58,37.29,26.93
2024-12,97.01,80.66,57.09,53.3,61.57,33.28,22.73
2025-01,83.45,71.64,60.29,60.18,52.33,35.71,25.16
2025-02,94.44,66.51,64.65,54.0,46.9,29.53,23.24
2025-03,98.12,63.11,61.25,58.51,54.21,38.49,25.46
2025-04,82.67,79.42,64.76,57.11,55.09,34.31,35.95
2025-05,87.21,73.28,72.59,61.5,43.78,33.06,26.15
2025-06,82.52,68.96,65.1,61.07,57.41,39.22,44.06
